date,name,size,density
2016-06,Lightspeed.Venture.Partners,8,0.5
2015-10,Lightspeed.Venture.Partners,7,0.5714285714285714
2014-09,Lightspeed.Venture.Partners,8,0.4444444444444444
2015-02,Lightspeed.Venture.Partners,14,0.7142857142857143
2016-07,Lightspeed.Venture.Partners,0,0.0
2015-12,Lightspeed.Venture.Partners,6,1.0
2014-10,Lightspeed.Venture.Partners,15,0.8166666666666667
2015-04,Lightspeed.Venture.Partners,12,0.6181818181818182
2014-08,Lightspeed.Venture.Partners,21,0.29411764705882354
2016-03,Lightspeed.Venture.Partners,11,0.42424242424242425
2015-08,Lightspeed.Venture.Partners,12,0.3484848484848485
2016-02,Lightspeed.Venture.Partners,11,0.4090909090909091
2015-09,Khosla.Ventures,23,0.26406926406926406
2015-11,Khosla.Ventures,0,0.0
2015-01,Khosla.Ventures,21,0.2813852813852814
2014-12,Khosla.Ventures,24,0.26900584795321636
2015-05,Khosla.Ventures,20,0.45614035087719296
2015-07,Khosla.Ventures,12,0.3974358974358974
2015-03,Khosla.Ventures,28,0.26153846153846155
2016-05,Khosla.Ventures,16,0.36666666666666664
2016-01,Khosla.Ventures,12,0.3333333333333333
2016-04,Khosla.Ventures,18,0.3157894736842105
2014-11,Khosla.Ventures,22,0.3526315789473684
2015-06,Khosla.Ventures,11,0.3939393939393939
2016-06,Khosla.Ventures,8,0.3888888888888889
2015-10,Khosla.Ventures,3,0.6666666666666666
2014-09,Khosla.Ventures,4,0.5
2015-02,Khosla.Ventures,10,0.41818181818181815
2016-07,Khosla.Ventures,2,1.0
2015-12,Khosla.Ventures,4,0.7
2014-10,Khosla.Ventures,17,0.37254901960784315
2015-04,Khosla.Ventures,7,0.42857142857142855
2014-08,Khosla.Ventures,22,0.3904761904761905
2016-03,Khosla.Ventures,9,0.4166666666666667
2015-08,Khosla.Ventures,9,0.5777777777777777
2016-02,Khosla.Ventures,10,0.5111111111111111
2015-09,KGC.Capital,0,0.0
2015-11,KGC.Capital,6,1.0
2015-01,KGC.Capital,1,1.0
2014-12,KGC.Capital,1,1.0
2015-05,KGC.Capital,1,1.0
2015-07,KGC.Capital,0,0.0
2015-03,KGC.Capital,0,0.0
2016-05,KGC.Capital,0,0.0
2016-01,KGC.Capital,1,1.0
2016-04,KGC.Capital,0,0.0
2014-11,KGC.Capital,3,1.0
2015-06,KGC.Capital,6,0.8
2016-06,KGC.Capital,1,1.0
2015-10,KGC.Capital,2,1.0
2014-09,KGC.Capital,2,1.0
2015-02,KGC.Capital,0,0.0
2016-07,KGC.Capital,0,0.0
2015-12,KGC.Capital,0,0.0
2014-10,KGC.Capital,0,0.0
2015-04,KGC.Capital,0,0.0
2014-08,KGC.Capital,0,0.0
2016-03,KGC.Capital,0,0.0
2015-08,KGC.Capital,3,1.0
2016-02,KGC.Capital,0,0.0
2015-09,Digital.Currency.Group,5,1.0
2015-11,Digital.Currency.Group,3,0.6666666666666666
2015-01,Digital.Currency.Group,2,1.0
2014-12,Digital.Currency.Group,11,0.7272727272727273
2015-05,Digital.Currency.Group,19,0.4444444444444444
2015-07,Digital.Currency.Group,2,1.0
2015-03,Digital.Currency.Group,2,1.0
2016-05,Digital.Currency.Group,3,1.0
2016-01,Digital.Currency.Group,10,0.6666666666666666
2016-04,Digital.Currency.Group,0,0.0
2014-11,Digital.Currency.Group,5,1.0
2015-06,Digital.Currency.Group,3,1.0
2016-06,Digital.Currency.Group,4,0.7
2015-10,Digital.Currency.Group,1,1.0
2014-09,Digital.Currency.Group,0,0.0
2015-02,Digital.Currency.Group,2,1.0
2016-07,Digital.Currency.Group,2,1.0
2015-12,Digital.Currency.Group,2,0.6666666666666666
2014-10,Digital.Currency.Group,5,0.7333333333333333
2015-04,Digital.Currency.Group,5,1.0
2014-08,Digital.Currency.Group,9,1.0
2016-03,Digital.Currency.Group,1,1.0
2015-08,Digital.Currency.Group,0,0.0
2016-02,Digital.Currency.Group,4,0.7
2015-09,Promus.Ventures,3,1.0
2015-11,Promus.Ventures,0,0.0
2015-01,Promus.Ventures,5,1.0
2014-12,Promus.Ventures,0,0.0
2015-05,Promus.Ventures,0,0.0
2015-07,Promus.Ventures,7,1.0
2015-03,Promus.Ventures,0,0.0
2016-05,Promus.Ventures,0,0.0
2016-01,Promus.Ventures,0,0.0
2016-04,Promus.Ventures,1,1.0
2014-11,Promus.Ventures,1,1.0
2015-06,Promus.Ventures,13,0.5
2016-06,Promus.Ventures,3,0.6666666666666666
2015-10,Promus.Ventures,0,0.0
2014-09,Promus.Ventures,9,1.0
2015-02,Promus.Ventures,0,0.0
2016-07,Promus.Ventures,2,1.0
